pipedrive_webhook_id,name,event,destination_host,destination_url,is_active,added,last_delivery,last_http_status,bottom_line,recommendation,reason,risk_level,OWNER_DECISION,OWNER_NOTES
"1756503","","*.*","app.grafitiyul.co.il","https://app.grafitiyul.co.il/api/mirror/pipedrive","active","2026-07-30","2026-08-03T17:06:28","200","When ANY Pipedrive object changes, this posts it to GOS /api/mirror/pipedrive (Basic auth).","KEEP ACTIVE","THE Pipedrive->GOS lead bridge. Deleting it stops every non-Meta lead from reaching GOS.","P0 — lead loss","",""
"1086006","כשנוצר פתק חדש","create.note","hook.us1.make.com","https://hook.us1.make.com/2pjrkqce2ytsuefzq9x7sqjmtd5nemb4","active","2025-04-14","2026-08-03T12:19:10","200","When create.note happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"685849","שליחת וואטסאפ מיידי","*.*","hook.us1.make.com","https://hook.us1.make.com/y5y27mxtdy20any5req9oiioxzq3fuaj/","active","2024-09-19","2026-08-03T12:19:04","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"655696","לאנדוליני: דיל חדש - שלח וובהוק","*.*","hook.us1.make.com","https://hook.us1.make.com/z7wlv71kel1iif9ycwhm26zzn7xbzrg7/","active","2024-09-05","2026-08-03T12:16:41","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1488571","","added.person","hook.us1.make.com","https://hook.us1.make.com/stazb6m4ec29cj22lqqwssn6xojbhviu","active","2025-10-12","2026-08-03T12:16:38","200","When added.person happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"402509","","added.person","hook.us1.make.com","https://hook.us1.make.com/gegxr7k94pmrlpmiubi4tvjphiwg8l74","active","2024-02-14","2026-08-03T12:16:38","200","When added.person happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"124381","","added.person","hook.integromat.com","https://hook.integromat.com/oyombrnhbs57kq7kkafoiebybmzwiyx7","active","2021-08-23","2026-08-03T12:16:38","200","When added.person happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"124384","","added.deal","hook.eu1.make.com","https://hook.eu1.make.com/jikevtwu956na3jebkjj3ut4w3zxgg6q?recid=rec8iBhipdGKfmkeh","active","2023-05-21","2026-08-03T12:16:38","200","When added.deal happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661061","סימון בדיל שולם עובר לאיירטייבל","*.*","hook.us1.make.com","https://hook.us1.make.com/p3z6x7qhga8ggjh0s8i89omab38ty4dm/","active","2024-09-08","2026-08-02T07:10:18","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1587942","שליחת תוכו 4 ימים לפני","*.*","hook.us1.make.com","https://hook.us1.make.com/wavs855o9ae87ixmpqiw6ub9j4pvxlct/","active","2026-02-09","2026-08-02T06:00:09","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
