make_scenario_id,name,folder,status,trigger,schedule,systems_touched,sends_comms,runs_sampled,errors,error_rate_pct,last_run,last_error,last_error_msg,dlq,last_edited,webhook_url,calls_scenarios,recommendation,reason,gos_replacement,prerequisite_before_disable,risk_level,OWNER_DECISION,OWNER_NOTES
"430341","כפתור ביצוע פעולות מקבל טריגר מפייפדרייב","(no folder)","active (live)","gateway:CustomMailHook","{""type"":""immediately""}","http","no","50","0","0","2026-07-31T05:26:54.872Z","","","0","2026-04-27T06:12:33.068Z","ij5yy7e8srdliyf6dph5n11fd8nra9wk@hook.us1.make.com","c1i8m4puemnsn5tv31hfvx668pepd4mm 0wr59rwerxp2l3arwwghqhyaiwlzcu9i g1bx3ntjtq6cgylck6yn2fomxqp9rdvh q56scym49n8t5ya383kitnf3h7dc6zgw","KEEP TEMPORARILY","Live with recent executions and no verified GOS replacement identified.","","Determine the owning domain and whether GOS covers it before disabling.","P2 — operational","",""
"2906484","מדריך מאשר רשומת שכר באיירטייבל","(no folder)","active (live)","gateway:CustomWebHook","{""type"":""immediately""}","airtable","no","50","0","0","2026-08-02T08:42:18.758Z","","","0","2024-11-04T11:19:02.648Z","https://hook.us1.make.com/i7p87ixnr37uwbjigg8rax536a92d7fd","","KEEP TEMPORARILY","Live, and duplicated by a GOS surface that is also live.","Payroll module","Verify GOS-side parity (recipients + content), then disable one at a time per Phase 1 and watch 48h.","P2","",""
"4095754","עדכון באירוע ביומן","(no folder)","active (live)","gateway:CustomWebHook","{""type"":""immediately"",""maximum_runs_per_minute"":100}","airtable calendar","no","50","0","0","2026-07-31T16:01:16.356Z","","","0","2026-07-07T14:20:45.734Z","https://hook.us1.make.com/iiyn6hdcetkjx0aokgpwiecinz7rltxw","yecjljo969ld2lpkgylfg6dgubwzsulu","KEEP TEMPORARILY","Live, and duplicated by a GOS surface that is also live.","Tour Calendar sync worker","Verify GOS-side parity (recipients + content), then disable one at a time per Phase 1 and watch 48h.","P2","",""
"1830861","שינויים כמות משתתפים / מידע חשוב על הלקוח / עדכון שם,טלפון,מייל בפרסון","(no folder)","active (live)","gateway:CustomWebHook","{""type"":""immediately""}","pipedrive airtable","no","50","0","0","2026-08-01T09:52:10.348Z","","","9","2026-05-17T09:50:36.032Z","https://hook.us1.make.com/lq3w7jit76j63cs6fm2xefgdtgnsd6n9","bpxeej2ojsw3t4syms2nfnhj68puoiu5 zn5ol0fanfyhev5yq7luxxlnar8mas3d oln3w9tk9477x05vaquyy4yplyarc142","KEEP TEMPORARILY","Live with recent executions and no verified GOS replacement identified.","","Determine the owning domain and whether GOS covers it before disabling.","P2 — operational","",""
"1978153","דחיפה של פתיחת תיקייה בגוגל תמונות","(no folder)","active (live)","airtable:ActionSearchRecords","{""time"":""08:00"",""type"":""daily""}","airtable http","no","34","0","0","2026-08-03T05:00:14.840Z","","","0","2026-04-21T09:50:49.489Z","","b2gdbr2omch67rs6sspq3ll48cmj55ai","KEEP TEMPORARILY","Live, and duplicated by a GOS surface that is also live.","GOS Tour Gallery","Verify GOS-side parity (recipients + content), then disable one at a time per Phase 1 and watch 48h.","P2","",""
"4459424","טריגר לסנריו  https://us1.make.com/120547/scenarios/4452993/edit","(no folder)","active (live)","http:MakeRequest","{""time"":""15:00"",""type"":""daily""}","http","no","34","0","0","2026-08-03T12:00:42.683Z","","","0","2025-12-14T14:04:27.253Z","","ftiipbl5nq9cf7odk8d9b5scjfobe6as","KEEP TEMPORARILY","Live with recent executions and no verified GOS replacement identified.","","Determine the owning domain and whether GOS covers it before disabling.","P2 — operational","",""
"430271","מדי לילה בודק נטישות עגלה באתר > מכניס לפייפדרייב","(no folder)","active (live)","woocommerce:SearchOrders","{""type"":""indefinitely"",""interval"":900,""restrict"":[{""days"":[1,2,3,4,5,6,0],""time"":[""00:30"",""00:31""]}]}","woo http","no","33","0","0","2026-08-02T21:30:04.355Z","","","0","2026-05-06T10:20:37.398Z","","ktl4gj73k8pm2kv3bjapgre35khch2cv","KEEP ACTIVE","Protected lead-intake dependency — this is the only path these leads have into GOS.","GOS website_form ingress — NOT credentialed (WEBSITE_FORM_SECRET unset)","Set WEBSITE_FORM_SECRET; fix adapter gaps G1/G2/G3/G4; repoint the form; prove 14 days of parity. Retire Find/Create UTM LAST, pipe4u second-to-last.","P0 — lead loss","",""
"430238","מדי לילה - משיכת נתוני סגירות דו""ח יומי לגיליון נתונים + שליחה בקבוצת וואטסאפ המצב היום","(no folder)","inactive+INVALID","pipedrive:ListDeals","{""time"":""22:00"",""type"":""daily""}","pipedrive sheets icount whatsapp","YES","31","2","6","2026-07-30T19:00:05.564Z","2026-07-30T19:00:05.564Z","429: daily request budget exceeded (Please check developers.pipedrive.com)","1","2025-03-19T13:01:37.305Z","","","NEEDS MANUAL REVIEW","Auto-deactivated by Make on 2026-07-30..08-02 after repeated Pipedrive 429 ""daily request budget exceeded"" errors. NOT a deliberate decision.","varies — see audit Part 7","Owner decides restore-vs-retire per row AFTER the Pipedrive API budget incident is resolved.","P1 — customer/payment/accounting","",""
"430326","שליחת מייל אישור עדכני","(no folder)","active (live)","gateway:CustomWebHook","{""type"":""immediately""}","http","no","30","0","0","2026-07-30T08:42:36.442Z","","","0","2025-03-09T13:40:23.542Z","https://hook.us1.make.com/iwff9sxyg2ob95qar6a9te2frmclpne6","p7agxxa1tqont84rumkfu3jgql6tuoix","KEEP TEMPORARILY","Live, and duplicated by a GOS surface that is also live.","Confirmation Email module","Verify GOS-side parity (recipients + content), then disable one at a time per Phase 1 and watch 48h.","P1","",""
"430297","מיזוג אנשי קשר פעם ביום","(no folder)","inactive+INVALID","pipedrive:GetPersons","{""time"":""00:30"",""type"":""daily""}","pipedrive http","no","30","2","7","2026-07-30T21:30:02.407Z","2026-07-30T21:30:02.407Z","429: daily request budget exceeded (Please check developers.pipedrive.com)","0","2022-10-19T05:17:26.725Z","","","NEEDS MANUAL REVIEW","Auto-deactivated by Make on 2026-07-30..08-02 after repeated Pipedrive 429 ""daily request budget exceeded"" errors. NOT a deliberate decision.","varies — see audit Part 7","Owner decides restore-vs-retire per row AFTER the Pipedrive API budget incident is resolved.","P1 — customer/payment/accounting","",""
"430300","מייל למשרד עם סיכום פולואפים למחר נשלח מדי ערב","(no folder)","inactive+INVALID","pipedrive:ListDeals","{""time"":""20:00"",""type"":""daily""}","pipedrive gmail","YES","30","2","7","2026-07-30T17:00:06.219Z","2026-07-30T17:00:06.219Z","429: daily request budget exceeded (Please check developers.pipedrive.com)","0","2023-06-24T17:45:10.592Z","","j6dwuqluh6rs6jjt1cwlhhas61a1ld25","NEEDS MANUAL REVIEW","Auto-deactivated by Make on 2026-07-30..08-02 after repeated Pipedrive 429 ""daily request budget exceeded"" errors. NOT a deliberate decision.","varies — see audit Part 7","Owner decides restore-vs-retire per row AFTER the Pipedrive API budget incident is resolved.","P1 — customer/payment/accounting","",""
